,model,vectorization,vector-size,accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro
42,sklearn_sgdclf,bagofwords,1000,0.8290824776416031,0.8290824776416031,0.8290824776416031,0.8290824776416031,0.7687346150077758,0.3836505497998915,0.40171049696192374
20,sklearn_mlpclf,bagofwords,500,0.8294137131500496,0.8294137131500496,0.8294137131500496,0.8294137131500496,0.6320962368643351,0.37463653876044123,0.3679656922881234
38,sklearn_ranfor,bagofwords,500,0.8310698906922822,0.8310698906922822,0.8310698906922822,0.8310698906922822,0.8300327276039167,0.30408507661037487,0.3306718805732223
30,sklearn_percep,bagofwords,1000,0.8310698906922822,0.8310698906922822,0.8310698906922822,0.8310698906922822,0.6541721150750318,0.48127912224318975,0.44906301974385276
41,sklearn_ranfor,tfidf,500,0.8337197747598543,0.8337197747598543,0.8337197747598543,0.8337197747598543,0.8465220575826753,0.29608402920239807,0.31819352399873835
14,sklearn_logreg,bagofwords,500,0.8347134812851937,0.8347134812851937,0.8347134812851937,0.8347134812851937,0.7295712267693729,0.39326081508569966,0.38759145739146705
17,sklearn_logreg,tfidf,500,0.8360384233189798,0.8360384233189798,0.8360384233189798,0.8360384233189798,0.8835068173828791,0.28076992493710473,0.29049651456558245
37,sklearn_ranfor,bagofwords,2000,0.8380258363696588,0.8380258363696588,0.8380258363696588,0.8380258363696588,0.8925315575812378,0.33453035097598677,0.3679274933504428
3,sklearn_knnclf,tfidf,1000,0.8400132494203378,0.8400132494203378,0.8400132494203378,0.8400132494203378,0.8179721477110089,0.40625424378936076,0.40537202473612505
36,sklearn_ranfor,bagofwords,1000,0.8416694269625704,0.8416694269625704,0.8416694269625704,0.8416694269625704,0.8960367262483828,0.34098283828818393,0.36929383160205864
43,sklearn_sgdclf,bagofwords,2000,0.8416694269625704,0.8416694269625704,0.8416694269625704,0.8416694269625704,0.7587262586632916,0.4207827029504044,0.44233598789420203
11,sklearn_linsvc,tfidf,500,0.8426631334879099,0.8426631334879099,0.8426631334879099,0.8426631334879099,0.7716333838251478,0.4042817171264089,0.4064017326393468
33,sklearn_percep,tfidf,1000,0.8449817820470354,0.8449817820470354,0.8449817820470354,0.8449817820470354,0.6688078234746363,0.47023848077316516,0.4311348258619217
47,sklearn_sgdclf,tfidf,500,0.846637959589268,0.846637959589268,0.846637959589268,0.8466379595892679,0.7615956068274483,0.3936098155010181,0.400616857543508
40,sklearn_ranfor,tfidf,2000,0.8469691950977145,0.8469691950977145,0.8469691950977145,0.8469691950977146,0.9182009853189916,0.3601727302355154,0.3967006879924494
24,sklearn_pasagg,bagofwords,1000,0.8476316661146075,0.8476316661146075,0.8476316661146075,0.8476316661146075,0.6717854828261095,0.44712516610424563,0.4397213639022474
